Max Gawn,106.5,826000,Ruck,Melbourne Demons
Lachie Neale,114.0,777000,Midfield,Brisbane Lions
Lachlan Hunter,14.2,732000,Midfield,Western Bulldogs
Zachary Merrett,48.2,803000,Midfield,Essendon Bombers
Clayton Oliver,82.25,786000,Midfield,Melbourne Demons
Jake Lloyd,81.8,795000,Defender,Sydney Swans
Steele Sidebottom,94.0,731000,Midfield,Collingwood Magpies
Taylor Adams,90.6,706000,Midfield,Collingwood Magpies
Tom Rockliff,77.6,737000,Midfield,Port Adelaide Power
Jack Steele,92.4,712000,Midfield,St Kilda Saints
Jackson Macrae,81.8,858000,Midfield,Western Bulldogs
Mitchell Duncan,89.4,784000,Midfield,Geelong Cats
Matt Crouch,70.75,788000,Midfield,Adeliade Crows
Brodie Grundy,105.0,906000,Ruck,Collingwood Magpies
Andrew Gaff,95.0,824000,Midfield,West Coast Eagles
Reilly O'Brien,82.0,709000,Ruck,Adeliade Crows
Christian Petracca,85.75,563000,Forward,Melbourne Demons
Lachie Whitfield,66.8,844000,Midfield,Greater Western Sydney Giants
Tom Mitchell,73.8,671000,Midfield,Hawthorn Hawks
Luke Parker,89.0,731000,Midfield,Sydney Swans
Joshua Kelly,87.0,860000,Midfield,Greater Western Sydney Giants
Jarryd Lyons,90.6,723000,Midfield,Brisbane Lions
Marcus Bontempelli,65.0,777000,Midfield,Western Bulldogs
Cameron Guthrie,67.8,569000,Midfield,Geelong Cats
Jed Anderson,67.8,584000,Midfield,North Melbourne Kangaroos
Adam Treloar,21.0,839000,Midfield,Collingwood Magpies
Travis Boak,85.0,784000,Midfield,Port Adelaide Power
Dylan Shiel,89.25,729000,Midfield,Essendon Bombers
Josh P. Kennedy,0.0,744000,Midfield,Sydney Swans
Sam Menegola,71.4,710000,Midfield,Geelong Cats
Touk Miller,82.2,675000,Midfield,Gold Coast Suns
Rory Laird,71.2,719000,Defender,Adeliade Crows
Patrick Dangerfield,73.4,798000,Midfield,Geelong Cats
Scott Pendlebury,89.8,769000,Midfield,Collingwood Magpies
Todd Goldstein,97.2,656000,Ruck,North Melbourne Kangaroos
Trent Dumont,72.8,654000,Midfield,North Melbourne Kangaroos
Stephen Coniglio,72.2,769000,Midfield,Greater Western Sydney Giants
Alex Witherden,11.4,555000,Defender,Brisbane Lions
Dayne Zorko,31.8,775000,Midfield,Brisbane Lions
Edward Curnow,64.2,667000,Midfield,Carlton Blues
Sam Walsh,63.4,684000,Midfield,Carlton Blues
Andrew McGrath,79.0,554000,Midfield,Essendon Bombers
James Worpel,78.4,718000,Midfield,Hawthorn Hawks
Hugh Greenwood,72.0,581000,Midfield,Gold Coast Suns
Oliver Wines,37.8,692000,Midfield,Port Adelaide Power
Josh Dunkley,47.6,824000,Midfield,Western Bulldogs
Thomas Stewart,62.0,705000,Defender,Geelong Cats
Rowan Marshall,79.4,736000,Ruck,St Kilda Saints
Andrew Brayshaw,65.8,516000,Midfield,Fremantle Dockers
Shaun Higgins,65.8,707000,Midfield,North Melbourne Kangaroos
Jack Crisp,68.4,725000,Defender,Collingwood Magpies
Tim Kelly,79.4,719000,Midfield,West Coast Eagles
Jaeger O'Meara,72.0,739000,Midfield,Hawthorn Hawks
Jack Viney,81.25,611000,Midfield,Melbourne Demons
Dustin Martin,71.0,721000,Midfield,Richmond Tigers
Nathan Fyfe,75.5,779000,Midfield,Fremantle Dockers
Patrick Cripps,84.4,753000,Midfield,Carlton Blues
Tim Taranto,0.0,835000,Midfield,Greater Western Sydney Giants
Blake Acres,0.0,501000,Midfield,Fremantle Dockers
Hugh McCluggage,82.4,678000,Midfield,Brisbane Lions
Brad Crouch,80.2,801000,Midfield,Adeliade Crows
Callum Mills,66.6,559000,Defender,Sydney Swans
Jack Billings,87.2,731000,Midfield,St Kilda Saints
Jayden Short,66.2,522000,Defender,Richmond Tigers
Michael Walters,81.2,694000,Midfield,Fremantle Dockers
Ed Langdon,74.0,683000,Midfield,Melbourne Demons
Timothy English,78.0,572000,Ruck,Western Bulldogs
Luke McDonald,50.2,431000,Defender,North Melbourne Kangaroos
Brandon Ellis,77.0,629000,Midfield,Gold Coast Suns
Tom Hawkins,67.2,526000,Forward,Geelong Cats
Caleb Daniel,68.2,696000,Defender,Western Bulldogs
Jared Polec,73.8,654000,Midfield,North Melbourne Kangaroos
Jordan Ridley,74.0,444000,Defender,Essendon Bombers
David Swallow,70.25,652000,Midfield,Gold Coast Suns
Zak Jones,76.5,614000,Midfield,St Kilda Saints
Christian Salem,39.2,665000,Defender,Melbourne Demons
Dan Houston,72.6,596000,Defender,Port Adelaide Power
Elliot Yeo,70.2,762000,Midfield,West Coast Eagles
Brayden Maynard,83.8,570000,Defender,Collingwood Magpies
Sam Docherty,94.0,563000,Defender,Carlton Blues
Jy Simpkin,81.6,496000,Midfield,North Melbourne Kangaroos
Matt Rowell,88.5,270000,Midfield,Gold Coast Suns
Devon Smith,70.0,720000,Midfield,Essendon Bombers
Nick Haynes,83.0,589000,Defender,Greater Western Sydney Giants
Isaac Heeney,72.8,666000,Midfield,Sydney Swans
Luke Ryan,56.8,594000,Defender,Fremantle Dockers
Jacob Hopper,64.6,695000,Midfield,Greater Western Sydney Giants
Harry Perryman,77.2,562000,Midfield,Greater Western Sydney Giants
Brad Ebert,85.4,594000,Forward,Port Adelaide Power
Thomas Liberatore,37.0,564000,Midfield,Western Bulldogs
Daniel Rich,67.2,653000,Defender,Brisbane Lions
Dominic Sheed,73.0,705000,Midfield,West Coast Eagles
Nicholas Naitanui,69.2,471000,Ruck,West Coast Eagles
James Sicily,60.2,620000,Defender,Hawthorn Hawks
Liam Duggan,59.2,495000,Defender,West Coast Eagles
Bradley Sheppard,69.2,611000,Defender,West Coast Eagles
Bailey Smith,62.0,513000,Midfield,Western Bulldogs
Rhys Stanley,26.0,603000,Ruck,Geelong Cats
Jack Steven,30.8,653000,Midfield,Geelong Cats
Jarrod Berry,75.4,591000,Midfield,Brisbane Lions
Kyle Langford,70.75,524000,Midfield,Essendon Bombers
Luke Shuey,65.2,749000,Midfield,West Coast Eagles
James Cousins,0.0,544000,Midfield,Hawthorn Hawks
Brandan Parfitt,52.2,536000,Midfield,Geelong Cats
Brodie Smith,60.2,646000,Defender,Adeliade Crows
Josh Daicos,73.0,431000,Midfield,Collingwood Magpies
Liam Shiels,57.8,708000,Midfield,Hawthorn Hawks
Dion Prestia,75.6,738000,Midfield,Richmond Tigers
Chad Wingard,81.2,582000,Midfield,Hawthorn Hawks
Toby Nankervis,40.4,642000,Ruck,Richmond Tigers
Will Setterfield,50.6,498000,Midfield,Carlton Blues
Joel Selwood,76.0,585000,Midfield,Geelong Cats
Caleb Serong,20.8,256000,Midfield,Fremantle Dockers
Marc Murphy,69.2,712000,Midfield,Carlton Blues
Jordan Dawson,58.4,614000,Defender,Sydney Swans
Adam Saad,74.0,499000,Defender,Essendon Bombers
Adam Cerra,58.6,451000,Defender,Fremantle Dockers
David Mundy,60.25,597000,Midfield,Fremantle Dockers
Bachar Houli,82.5,766000,Defender,Richmond Tigers
Toby Greene,67.75,730000,Forward,Greater Western Sydney Giants
Zachary Williams,34.4,688000,Defender,Greater Western Sydney Giants
Matthew Kennedy,0.0,359000,Forward,Carlton Blues
Darcy Parish,45.0,589000,Midfield,Essendon Bombers
Scott Lycett,73.2,619000,Ruck,Port Adelaide Power
Lachlan Weller,75.6,612000,Midfield,Gold Coast Suns
Trent Cotchin,72.2,525000,Midfield,Richmond Tigers
Isaac Smith,73.4,630000,Midfield,Hawthorn Hawks
Shannon Hurn,63.0,678000,Defender,West Coast Eagles
Jarrod Witts,67.0,775000,Ruck,Gold Coast Suns
Shai Bolton,64.75,473000,Forward,Richmond Tigers
Sam Jacobs,35.8,514000,Ruck,Greater Western Sydney Giants
Tom Lynch,0.0,463000,Forward,Adeliade Crows
Ben Keays,57.25,338000,Forward,Adeliade Crows
Jack Bowes,67.8,531000,Midfield,Gold Coast Suns
Jack Martin,71.0,619000,Midfield,Carlton Blues
Bailey Williams,57.8,575000,Defender,Western Bulldogs
Hunter Clark,61.0,574000,Defender,St Kilda Saints
Paul Seedsman,30.6,540000,Midfield,Adeliade Crows
Karl Amon,62.4,567000,Midfield,Port Adelaide Power
Angus Brayshaw,67.5,653000,Midfield,Melbourne Demons
Tom Phillips,59.4,672000,Midfield,Collingwood Magpies
Nicholas Coffield,65.5,415000,Defender,St Kilda Saints
Zach Tuohy,63.8,507000,Defender,Geelong Cats
Kane Lambert,60.4,643000,Forward,Richmond Tigers
Jack Lukosius,60.8,388000,Defender,Gold Coast Suns
Ben Ainsworth,67.0,483000,Midfield,Gold Coast Suns
Jason Johannisen,64.0,609000,Defender,Western Bulldogs
Darcy Byrne-Jones,65.2,640000,Defender,Port Adelaide Power
James Aish,65.2,496000,Defender,Fremantle Dockers
Jade Gresham,57.8,619000,Midfield,St Kilda Saints
Patrick Ryder,35.4,521000,Ruck,St Kilda Saints
Michael Gibbons,65.4,463000,Forward,Carlton Blues
Steven May,50.25,527000,Defender,Melbourne Demons
Aaron Hall,52.4,527000,Midfield,North Melbourne Kangaroos
Jack Gunston,58.2,565000,Forward,Hawthorn Hawks
Robbie Gray,55.0,603000,Midfield,Port Adelaide Power
Zak Butters,65.8,421000,Forward,Port Adelaide Power
Gryan Miers,70.4,495000,Forward,Geelong Cats
Rory Sloane,54.0,739000,Midfield,Adeliade Crows
Hamish Hartlett,61.6,567000,Defender,Port Adelaide Power
Callum Sinclair,36.6,568000,Ruck,Sydney Swans
Michael Hurley,65.75,574000,Defender,Essendon Bombers
Oliver Florent,68.8,514000,Midfield,Sydney Swans
Lewis Jetta,63.75,454000,Defender,West Coast Eagles
Hayden Crozier,61.6,531000,Defender,Western Bulldogs
Mark Blicavs,47.2,505000,Defender,Geelong Cats
Jonathon Ceglar,66.4,562000,Ruck,Hawthorn Hawks
Ricky Henderson,50.2,717000,Midfield,Hawthorn Hawks
Ryan Clarke,9.8,460000,Midfield,Sydney Swans
Sebastian Ross,69.8,700000,Midfield,St Kilda Saints
Oscar McInerney,57.2,417000,Ruck,Brisbane Lions
Will Day,0.0,246000,Defender,Hawthorn Hawks
Zac Bailey,52.0,358000,Defender,Brisbane Lions
Daniel Butler,72.6,384000,Forward,St Kilda Saints
Jack Graham,23.6,615000,Midfield,Richmond Tigers
Jack Higgins,70.5,497000,Forward,Richmond Tigers
Tom Doedee,52.25,403000,Defender,Adeliade Crows
Jake Riccardi,0.0,170000,Forward,Greater Western Sydney Giants
Noah Anderson,53.0,268000,Midfield,Gold Coast Suns
Kade Simpson,60.6,595000,Defender,Carlton Blues
Matthew Taberner,53.4,622000,Forward,Fremantle Dockers
Jack Redden,49.2,681000,Midfield,West Coast Eagles
John Noble,52.5,400000,Defender,Collingwood Magpies
Darcy Tucker,75.6,539000,Midfield,Fremantle Dockers
Robbie Tarrant,59.2,482000,Defender,North Melbourne Kangaroos
Jack Scrimshaw,27.0,438000,Defender,Hawthorn Hawks
Tom Papley,71.4,574000,Forward,Sydney Swans
Lachlan Fogarty,0.0,326000,Forward,Geelong Cats
Harry Cunningham,50.4,581000,Defender,Sydney Swans
Bayley Fritsch,56.5,551000,Defender,Melbourne Demons
Lachlan Henderson,0.0,424000,Defender,Geelong Cats
Jackson Hately,33.2,456000,Midfield,Greater Western Sydney Giants
Shane Edwards,55.4,549000,Defender,Richmond Tigers
Sam Mayes,0.0,300000,Midfield,Port Adelaide Power
Peter Ladhams,0.0,414000,Ruck,Port Adelaide Power
Michael Hibberd,42.8,455000,Defender,Melbourne Demons
Sam Powell-Pepper,50.6,559000,Midfield,Port Adelaide Power
Patrick Lipinski,39.6,634000,Midfield,Western Bulldogs
Reece Conca,54.8,554000,Midfield,Fremantle Dockers
Jordan De Goey,57.8,626000,Forward,Collingwood Magpies
Jack Newnes,42.2,517000,Midfield,Carlton Blues
Brett Bewley,63.4,367000,Forward,Fremantle Dockers
Nick Vlastuin,49.6,585000,Defender,Richmond Tigers
Dylan Stephens,0.0,262000,Midfield,Sydney Swans
Rupert Wills,35.2,458000,Midfield,Collingwood Magpies
Jackson Nelson,28.2,358000,Defender,West Coast Eagles
Charlie Dixon,67.5,513000,Forward,Port Adelaide Power
Daniel Hannebery,60.2,622000,Midfield,St Kilda Saints
Jeremy McGovern,29.0,511000,Defender,West Coast Eagles
Mitch Robinson,71.2,695000,Midfield,Brisbane Lions
Rory Lobb,62.2,588000,Ruck,Fremantle Dockers
Liam Ryan,55.6,422000,Forward,West Coast Eagles
Xavier Duursma,38.4,581000,Midfield,Port Adelaide Power
Jamie Elliott,47.0,502000,Forward,Collingwood Magpies
Luke Davies-Uniacke,0.0,395000,Midfield,North Melbourne Kangaroos
Bradley Hill,61.8,658000,Midfield,St Kilda Saints
James Rowbottom,54.4,469000,Midfield,Sydney Swans
Liam Baker,48.75,510000,Defender,Richmond Tigers
Gary Ablett,63.6,658000,Forward,Geelong Cats
Mitchell Brown,6.0,508000,Defender,Melbourne Demons
Brayden Fiorini,31.0,740000,Midfield,Gold Coast Suns
Jackson Thurlow,0.0,461000,Defender,Sydney Swans
Heath Shaw,60.6,612000,Defender,Greater Western Sydney Giants
Christopher Mayne,55.4,577000,Midfield,Collingwood Magpies
Connor Rozee,59.4,539000,Forward,Port Adelaide Power
Jasper Pittard,55.6,531000,Defender,North Melbourne Kangaroos
Kamdyn Mcintosh,17.0,468000,Midfield,Richmond Tigers
Luke Breust,56.5,506000,Forward,Hawthorn Hawks
David Zaharakis,40.0,590000,Midfield,Essendon Bombers
Sam Simpson,0.0,170000,Midfield,Geelong Cats
Oscar Allen,37.8,424000,Forward,West Coast Eagles
Marc Pittonet,67.75,305000,Ruck,Carlton Blues
Will Snelling,46.0,420000,Forward,Essendon Bombers
Shaun Atley,53.8,496000,Defender,North Melbourne Kangaroos
Justin Westhoff,64.8,574000,Midfield,Port Adelaide Power
Charlie Cameron,56.2,499000,Forward,Brisbane Lions
Jye Caldwell,25.8,310000,Midfield,Greater Western Sydney Giants
Jamie Cripps,46.8,476000,Forward,West Coast Eagles
Jack Darling,43.0,529000,Forward,West Coast Eagles
Sam Petrevski-Seton,55.0,577000,Defender,Carlton Blues
Tim Membrey,54.8,523000,Forward,St Kilda Saints
Mitchell Hibberd,5.6,197000,Midfield,Essendon Bombers
Jack Sinclair,0.0,493000,Midfield,St Kilda Saints
Ivan Soldo,35.0,538000,Ruck,Richmond Tigers
Levi Casboult,65.8,485000,Defender,Carlton Blues
Zac Fisher,10.8,469000,Midfield,Carlton Blues
Toby McLean,32.8,506000,Forward,Western Bulldogs
Jake Carlisle,54.5,393000,Defender,St Kilda Saints
Jason Castagna,47.6,511000,Forward,Richmond Tigers
Callan Ward,39.0,539000,Midfield,Greater Western Sydney Giants
Tom Green,27.4,252000,Midfield,Greater Western Sydney Giants
Shane McAdam,15.8,170000,Forward,Adeliade Crows
David Astbury,58.0,416000,Defender,Richmond Tigers
Dane Rampe,42.8,589000,Defender,Sydney Swans
Harry Morrison,17.6,477000,Midfield,Hawthorn Hawks
Trent Rivers,24.0,208000,Defender,Melbourne Demons
Jake Waterman,12.6,456000,Forward,West Coast Eagles
Darcy Fort,30.4,321000,Forward,Geelong Cats
Callum Ah Chee,48.5,345000,Midfield,Brisbane Lions
Luke Dahlhaus,53.2,574000,Forward,Geelong Cats
Jack Lonie,55.0,493000,Forward,St Kilda Saints
Isaac Quaynor,0.0,370000,Defender,Collingwood Magpies
Conor McKenna,0.0,522000,Defender,Essendon Bombers
David MacKay,0.0,486000,Defender,Adeliade Crows
Marlion Pickett,27.0,170000,Midfield,Richmond Tigers
Josh Battle,25.2,508000,Defender,St Kilda Saints
Nathan Wilson,21.6,481000,Defender,Fremantle Dockers
Adam Tomlinson,63.25,574000,Midfield,Melbourne Demons
Sean Darcy,22.0,511000,Ruck,Fremantle Dockers
Cameron Rayner,50.4,334000,Forward,Brisbane Lions
Daniel Rioli,41.0,417000,Forward,Richmond Tigers
Ethan Hughes,46.0,431000,Defender,Fremantle Dockers
Grant Birchall,49.25,428000,Defender,Brisbane Lions
Connor Blakely,0.0,555000,Defender,Fremantle Dockers
Jeremy Cameron,53.0,649000,Forward,Greater Western Sydney Giants
Darcy Moore,48.2,409000,Defender,Collingwood Magpies
Ryan Lester,44.25,457000,Defender,Brisbane Lions
Josh Caddy,63.0,523000,Midfield,Richmond Tigers
Jack Ross,16.2,419000,Midfield,Richmond Tigers
Tom Cutler,23.6,496000,Midfield,Essendon Bombers
Sam Draper,0.0,170000,Ruck,Essendon Bombers
Josh Rotham,4.8,336000,Defender,West Coast Eagles
George Hewett,47.0,559000,Midfield,Sydney Swans
Justin Mcinerney,44.0,170000,Midfield,Sydney Swans
David Cuningham,58.8,477000,Forward,Carlton Blues
Lachlan Schultz,42.2,320000,Forward,Fremantle Dockers
Aidan Corr,55.6,265000,Defender,Greater Western Sydney Giants
Stephen Hill,18.8,428000,Defender,Fremantle Dockers
Elliott Himmelberg,4.8,439000,Forward,Adeliade Crows
Eric Hipwood,55.0,424000,Forward,Brisbane Lions
Ben McEvoy,42.8,618000,Ruck,Hawthorn Hawks
Jeremy Finlayson,52.2,525000,Forward,Greater Western Sydney Giants
Jarrod Brander,55.25,217000,Defender,West Coast Eagles
Wil Powell,44.75,407000,Midfield,Gold Coast Suns
Will Hoskin-Elliott,50.0,559000,Forward,Collingwood Magpies
Trent McKenzie,52.8,390000,Defender,Port Adelaide Power
James Harmes,55.25,698000,Midfield,Melbourne Demons
Alex Sexton,46.5,435000,Forward,Gold Coast Suns
