Touk Miller,122.14,,,Gold Coast Suns
Jack Steele,120.76,,,St Kilda Saints
Jarryd Lyons,117.09,,,Brisbane Lions
Jackson Macrae,115.91,,,Western Bulldogs
Tom Mitchell,115.59,,,Hawthorn Hawks
Christian Petracca,112.14,,,Melbourne Demons
Oliver Wines,111.91,,,Port Adelaide Power
Zachary Merrett,111.29,,,Essendon Bombers
Rory Laird,110.33,,,Adeliade Crows
Callum Mills,110.0,,,Sydney Swans
Cameron Guthrie,109.89,,,Geelong Cats
Sam Walsh,109.14,,,Carlton Blues
Dayne Zorko,108.9,,,Brisbane Lions
Brodie Grundy,108.84,,,Collingwood Magpies
Tim Taranto,108.24,,,Greater Western Sydney Giants
Aaron Hall,108.0,,,North Melbourne Kangaroos
Marcus Bontempelli,107.86,,,Western Bulldogs
Clayton Oliver,107.52,,,Melbourne Demons
Darcy Parish,107.43,,,Essendon Bombers
Max Gawn,107.1,,,Melbourne Demons
Ben Keays,106.29,,,Adeliade Crows
Brayden Fiorini,105.33,,,Gold Coast Suns
Andrew Brayshaw,104.32,,,Fremantle Dockers
Joshua Kelly,103.7,,,Greater Western Sydney Giants
Jack Crisp,103.67,,,Collingwood Magpies
Mitchell Duncan,100.3,,,Geelong Cats
Jack Ziebell,100.1,,,North Melbourne Kangaroos
Hugh McCluggage,100.05,,,Brisbane Lions
Luke Parker,99.32,,,Sydney Swans
Ben Cunnington,99.2,,,North Melbourne Kangaroos
Taylor Adams,99.0,,,Collingwood Magpies
Karl Amon,98.68,,,Port Adelaide Power
Sam Docherty,98.64,,,Carlton Blues
Jake Lloyd,98.24,,,Sydney Swans
Daniel Rich,98.09,,,Brisbane Lions
Travis Boak,97.67,,,Port Adelaide Power
Andrew Gaff,97.19,,,West Coast Eagles
Lachie Whitfield,96.93,,,Greater Western Sydney Giants
Thomas Stewart,96.8,,,Geelong Cats
Sean Darcy,96.35,,,Fremantle Dockers
Paul Seedsman,96.24,,,Adeliade Crows
Jaeger O'Meara,95.89,,,Hawthorn Hawks
Jy Simpkin,95.19,,,North Melbourne Kangaroos
Brad Crouch,94.84,,,St Kilda Saints
Luke Dunstan,94.58,,,St Kilda Saints
Lachie Neale,94.47,,,Brisbane Lions
Dyson Heppell,94.35,,,Essendon Bombers
Christopher Mayne,93.94,,,Collingwood Magpies
Brandon Ellis,93.83,,,Gold Coast Suns
Jack Redden,93.72,,,West Coast Eagles
Jayden Short,93.36,,,Richmond Tigers
Isaac Smith,92.4,,,Geelong Cats
Christian Salem,92.2,,,Melbourne Demons
Bachar Houli,91.58,,,Richmond Tigers
Josh Dunkley,91.55,,,Western Bulldogs
Dominic Sheed,91.36,,,West Coast Eagles
Thomas Liberatore,90.29,,,Western Bulldogs
David Mundy,89.52,,,Fremantle Dockers
David Swallow,89.48,,,Gold Coast Suns
Josh P. Kennedy,88.86,,,Sydney Swans
Jordan Dawson,88.82,,,Sydney Swans
Jacob Hopper,88.8,,,Greater Western Sydney Giants
Steele Sidebottom,88.8,,,Collingwood Magpies
Chad Wingard,88.31,,,Hawthorn Hawks
Zak Jones,88.08,,,St Kilda Saints
Jack Viney,87.82,,,Melbourne Demons
Shannon Hurn,87.8,,,West Coast Eagles
Alex Witherden,87.78,,,West Coast Eagles
Edward Curnow,87.71,,,Carlton Blues
Hugh Greenwood,87.67,,,Gold Coast Suns
Luke Shuey,87.57,,,West Coast Eagles
Patrick Dangerfield,87.5,,,Geelong Cats
Rowan Marshall,87.42,,,St Kilda Saints
Bailey Smith,87.36,,,Western Bulldogs
Adam Cerra,87.33,,,Fremantle Dockers
Adam Treloar,87.15,,,Western Bulldogs
Luke Ryan,87.11,,,Fremantle Dockers
Caleb Daniel,86.86,,,Western Bulldogs
Kyle Langford,86.59,,,Essendon Bombers
Reilly O'Brien,86.2,,,Adeliade Crows
Ed Langdon,86.15,,,Melbourne Demons
Joel Selwood,86.15,,,Geelong Cats
Harry Perryman,86.07,,,Greater Western Sydney Giants
Jack Lukosius,86.0,,,Gold Coast Suns
Sam Menegola,85.95,,,Geelong Cats
Isaac Cumming,85.81,,,Greater Western Sydney Giants
Jarman Impey,85.69,,,Hawthorn Hawks
Jaidyn Stephenson,85.67,,,North Melbourne Kangaroos
Todd Goldstein,85.62,,,North Melbourne Kangaroos
Scott Lycett,85.56,,,Port Adelaide Power
Andrew McGrath,85.38,,,Essendon Bombers
Lachlan Hunter,85.24,,,Western Bulldogs
Nicholas Naitanui,85.18,,,West Coast Eagles
Matthew Kennedy,84.64,,,Carlton Blues
Rory Sloane,84.59,,,Adeliade Crows
Nic Newman,84.54,,,Carlton Blues
Nathan Fyfe,84.47,,,Fremantle Dockers
Scott Pendlebury,84.39,,,Collingwood Magpies
Patrick Cripps,84.26,,,Carlton Blues
Tim Kelly,84.26,,,West Coast Eagles
Liam Shiels,84.24,,,Hawthorn Hawks
Zach Tuohy,83.89,,,Geelong Cats
Nick Hind,83.76,,,Essendon Bombers
Toby Greene,83.75,,,Greater Western Sydney Giants
Bailey Dale,83.55,,,Western Bulldogs
Toby Nankervis,83.44,,,Richmond Tigers
Brayden Maynard,83.43,,,Collingwood Magpies
Jack Billings,83.28,,,St Kilda Saints
Jordan De Goey,83.0,,,Collingwood Magpies
Elliot Yeo,83.0,,,West Coast Eagles
Callan Ward,82.52,,,Greater Western Sydney Giants
James Harmes,82.43,,,Melbourne Demons
Tom Hickey,82.25,,,Sydney Swans
Luke Davies-Uniacke,82.21,,,North Melbourne Kangaroos
Blake Hardwick,81.35,,,Hawthorn Hawks
Dustin Martin,81.25,,,Richmond Tigers
Sebastian Ross,81.21,,,St Kilda Saints
Dion Prestia,81.11,,,Richmond Tigers
Noah Anderson,80.95,,,Gold Coast Suns
Caleb Serong,80.76,,,Fremantle Dockers
Jack Bowes,80.58,,,Gold Coast Suns
Jed Anderson,80.5,,,North Melbourne Kangaroos
Timothy English,80.33,,,Western Bulldogs
Ben McEvoy,79.95,,,Hawthorn Hawks
Dan Houston,79.9,,,Port Adelaide Power
Jordan Ridley,79.9,,,Essendon Bombers
Lachlan Weller,79.85,,,Gold Coast Suns
Jack Scrimshaw,79.75,,,Hawthorn Hawks
Jake Stringer,79.53,,,Essendon Bombers
Jack Sinclair,79.35,,,St Kilda Saints
Tarryn Thomas,79.3,,,North Melbourne Kangaroos
Daniel Howe,79.05,,,Hawthorn Hawks
James Cousins,79.0,,,Hawthorn Hawks
Shaun Higgins,78.87,,,Geelong Cats
Brodie Smith,78.8,,,Adeliade Crows
James Worpel,78.8,,,Hawthorn Hawks
Lachlan Ash,78.56,,,Greater Western Sydney Giants
Liam Duggan,78.5,,,West Coast Eagles
Will Snelling,78.44,,,Essendon Bombers
Jack Graham,78.41,,,Richmond Tigers
Shai Bolton,77.65,,,Richmond Tigers
Rhys Stanley,77.4,,,Geelong Cats
Kane Lambert,77.23,,,Richmond Tigers
Mitch Robinson,76.85,,,Brisbane Lions
Tom McDonald,76.84,,,Melbourne Demons
Darcy Byrne-Jones,76.73,,,Port Adelaide Power
Oscar McInerney,76.67,,,Brisbane Lions
Jonathon Ceglar,76.42,,,Hawthorn Hawks
Tim Membrey,76.4,,,St Kilda Saints
Brandan Parfitt,76.35,,,Geelong Cats
Josh Caddy,76.33,,,Richmond Tigers
Zak Butters,76.2,,,Port Adelaide Power
Isaac Heeney,76.15,,,Sydney Swans
Nick Vlastuin,76.08,,,Richmond Tigers
Grant Birchall,75.95,,,Brisbane Lions
Trent Cotchin,75.82,,,Richmond Tigers
James Rowbottom,75.6,,,Sydney Swans
Willem Drew,75.5,,,Port Adelaide Power
Andrew Phillips,75.5,,,Essendon Bombers
Taylor Walker,75.41,,,Adeliade Crows
Tom Hawkins,75.33,,,Geelong Cats
John Noble,74.86,,,Collingwood Magpies
Patrick Ryder,74.83,,,St Kilda Saints
Jacob Weitering,73.95,,,Carlton Blues
Jeremy Howe,73.43,,,Collingwood Magpies
Ryan Burton,73.41,,,Port Adelaide Power
Will Hoskin-Elliott,73.16,,,Collingwood Magpies
Tom Phillips,73.09,,,Hawthorn Hawks
Darcy Moore,73.08,,,Collingwood Magpies
Liam Baker,72.77,,,Richmond Tigers
Zac Bailey,72.73,,,Brisbane Lions
Peter Ladhams,72.73,,,Port Adelaide Power
Errol Gulden,72.65,,,Sydney Swans
Robbie Gray,72.62,,,Port Adelaide Power
Hunter Clark,72.62,,,St Kilda Saints
Oliver Florent,72.59,,,Sydney Swans
Oleg Markov,72.53,,,Gold Coast Suns
Wil Powell,72.32,,,Gold Coast Suns
Changkuoth Jiath,72.25,,,Hawthorn Hawks
Joe Daniher,72.23,,,Brisbane Lions
Steven May,72.11,,,Melbourne Demons
Xavier Duursma,72.11,,,Port Adelaide Power
Jeremy McGovern,72.0,,,West Coast Eagles
Tom Green,71.82,,,Greater Western Sydney Giants
Mark Blicavs,71.8,,,Geelong Cats
Josh Rotham,71.58,,,West Coast Eagles
Trent Dumont,71.54,,,North Melbourne Kangaroos
Zachary Williams,71.5,,,Carlton Blues
Taylor Duryea,71.48,,,Western Bulldogs
Bradley Hill,71.43,,,St Kilda Saints
Alex Neal-Bullen,71.43,,,Melbourne Demons
Trent McKenzie,71.42,,,Port Adelaide Power
Bradley Sheppard,71.3,,,West Coast Eagles
Jamie Cripps,71.0,,,West Coast Eagles
Jeremy Sharp,71.0,,,Gold Coast Suns
Jamie Elliott,70.83,,,Collingwood Magpies
Josh Daicos,70.81,,,Collingwood Magpies
Nick Haynes,70.61,,,Greater Western Sydney Giants
Rory Lobb,70.54,,,Fremantle Dockers
James Aish,70.48,,,Fremantle Dockers
Matthew Flynn,70.42,,,Greater Western Sydney Giants
Lachlan Bramble,70.4,,,Hawthorn Hawks
Dylan Moore,70.35,,,Hawthorn Hawks
Lance Franklin,70.35,,,Sydney Swans
Harry McKay,70.21,,,Carlton Blues
Dane Rampe,70.21,,,Sydney Swans
Marc Pittonet,70.08,,,Carlton Blues
James Jordon,70.05,,,Melbourne Demons
Tom Lynch,70.0,,,Adeliade Crows
Isaac Quaynor,69.85,,,Collingwood Magpies
Tom Atkins,69.83,,,Geelong Cats
Adam Saad,69.71,,,Carlton Blues
Jack Darling,69.64,,,West Coast Eagles
Jesse Hogan,69.57,,,Greater Western Sydney Giants
Justin McInerney,69.5,,,Sydney Swans
Shaun Atley,69.5,,,North Melbourne Kangaroos
Ben Ainsworth,69.47,,,Gold Coast Suns
Darcy Cameron,69.47,,,Collingwood Magpies
Chad Warner,69.08,,,Sydney Swans
Ned Reeves,69.0,,,Hawthorn Hawks
Harry Cunningham,68.8,,,Sydney Swans
Luke McDonald,68.8,,,North Melbourne Kangaroos
Will Day,68.8,,,Hawthorn Hawks
Riley Bonner,68.67,,,Port Adelaide Power
Lachlan Henderson,68.59,,,Geelong Cats
Jack Higgins,68.56,,,St Kilda Saints
Tom Powell,68.46,,,North Melbourne Kangaroos
Charlie Dixon,68.41,,,Port Adelaide Power
Steven Motlop,68.18,,,Port Adelaide Power
Peter Wright,68.16,,,Essendon Bombers
Nathan Broad,67.64,,,Richmond Tigers
Connor Rozee,67.63,,,Port Adelaide Power
Blake Acres,67.59,,,Fremantle Dockers
Harry Schoenberg,67.57,,,Adeliade Crows
Sydney Stack,67.57,,,Richmond Tigers
Harris Andrews,67.48,,,Brisbane Lions
Bailey Williams,67.37,,,Western Bulldogs
Jack Newnes,67.28,,,Carlton Blues
Lachlan Sholl,67.28,,,Adeliade Crows
Daniel Lloyd,67.0,,,Greater Western Sydney Giants
Jeremy Cameron,67.0,,,Geelong Cats
Shane Mumford,66.92,,,Greater Western Sydney Giants
Harry Morrison,66.86,,,Hawthorn Hawks
Aaron Naughton,66.81,,,Western Bulldogs
Gryan Miers,66.55,,,Geelong Cats
Aliir Aliir,66.27,,,Port Adelaide Power
Jake Waterman,66.14,,,West Coast Eagles
Lachlan Fogarty,66.13,,,Carlton Blues
Angus Brayshaw,66.1,,,Melbourne Demons
Sam Taylor,65.94,,,Greater Western Sydney Giants
Mason Redman,65.9,,,Essendon Bombers
Darcy Macpherson,65.82,,,Gold Coast Suns
Jack Henry,65.75,,,Geelong Cats
Hayden Young,65.71,,,Fremantle Dockers
Hayden Crozier,65.6,,,Western Bulldogs
Daniel McStay,65.33,,,Brisbane Lions
Nicholas Holman,65.31,,,Gold Coast Suns
Tom Papley,65.0,,,Sydney Swans
Shane Edwards,65.0,,,Richmond Tigers
Patrick Lipinski,65.0,,,Western Bulldogs
Jarrod Lienert,65.0,,,Port Adelaide Power
Tom Doedee,64.85,,,Adeliade Crows
Ryan Byrnes,64.8,,,St Kilda Saints
Orazio Fantasia,64.46,,,Port Adelaide Power
Miles Bergman,64.42,,,Port Adelaide Power
Jack Riewoldt,64.32,,,Richmond Tigers
Sam Reid,64.2,,,Sydney Swans
Lincoln McCarthy,64.18,,,Brisbane Lions
Dean Kent,64.17,,,St Kilda Saints
George Hewett,63.95,,,Sydney Swans
Mason Wood,63.86,,,St Kilda Saints
Brody Mihocek,63.81,,,Collingwood Magpies
Sam Powell-Pepper,63.71,,,Port Adelaide Power
Harrison Himmelberg,63.62,,,Greater Western Sydney Giants
Luke Jackson,63.6,,,Melbourne Demons
Jake Kelly,63.6,,,Adeliade Crows
Jack Silvagni,63.6,,,Carlton Blues
Kysaiah Pickett,63.52,,,Melbourne Demons
Darcy Tucker,63.47,,,Fremantle Dockers
Caleb Poulter,63.45,,,Collingwood Magpies
Callum Wilkie,63.33,,,St Kilda Saints
Cameron Zurhaar,63.32,,,North Melbourne Kangaroos
Matthew Parker,63.17,,,Richmond Tigers
Matthew Taberner,63.13,,,Fremantle Dockers
Josh Bruce,62.85,,,Western Bulldogs
Jack Martin,62.82,,,Carlton Blues
Tom Barrass,62.38,,,West Coast Eagles
Charlie Cameron,62.32,,,Brisbane Lions
Jake Lever,62.29,,,Melbourne Demons
Will Hayward,62.28,,,Sydney Swans
Bayley Fritsch,62.2,,,Melbourne Demons
Devon Smith,62.17,,,Essendon Bombers
Tom Lynch,61.94,,,Richmond Tigers
Deven Robertson,61.93,,,Brisbane Lions
Jarrod Brander,61.73,,,West Coast Eagles
Charlie Ballard,61.67,,,Gold Coast Suns
Mark O'Connor,61.67,,,Geelong Cats
Josh Battle,61.64,,,St Kilda Saints
Nathan Wilson,61.56,,,Fremantle Dockers
Michael Walters,61.5,,,Fremantle Dockers
Dylan Shiel,61.5,,,Essendon Bombers
Kamdyn Mcintosh,61.47,,,Richmond Tigers
Dougal Howard,61.45,,,St Kilda Saints
Michael Gibbons,61.45,,,Carlton Blues
Matthew De Boer,61.38,,,Greater Western Sydney Giants
Sam Petrevski-Seton,61.31,,,Carlton Blues
Marcus Adams,61.27,,,Brisbane Lions
Luke Breust,61.21,,,Hawthorn Hawks
Trent Bianco,61.2,,,Collingwood Magpies
Tom Highmore,61.17,,,St Kilda Saints
Jordan Roughead,61.1,,,Collingwood Magpies
Jimmy Webster,61.05,,,St Kilda Saints
Conor Nash,61.0,,,Hawthorn Hawks
Ben Brown,60.89,,,Melbourne Demons
Thomas Jonas,60.82,,,Port Adelaide Power
Rhys Mathieson,60.8,,,Brisbane Lions
Jordon Sweet,60.8,,,Western Bulldogs
Jack Madgen,60.65,,,Collingwood Magpies
Zach Guthrie,60.6,,,Geelong Cats
Mabior Chol,60.5,,,Richmond Tigers
Will Setterfield,60.38,,,Carlton Blues
Jed Bews,60.24,,,Geelong Cats
Alex Sexton,60.17,,,Gold Coast Suns
Mitchell Lewis,60.14,,,Hawthorn Hawks
Daniel McKenzie,60.0,,,St Kilda Saints
Ethan Hughes,60.0,,,Fremantle Dockers
Adam Kennedy,59.75,,,Greater Western Sydney Giants
Nick Blakey,59.73,,,Sydney Swans
Joshua Kennedy,59.61,,,West Coast Eagles
Curtis Taylor,59.47,,,North Melbourne Kangaroos
Trent Rivers,59.29,,,Melbourne Demons
Taylin Duman,59.17,,,Fremantle Dockers
Sam Flanders,59.13,,,Gold Coast Suns
Dylan Grimes,59.0,,,Richmond Tigers
Jy Farrar,59.0,,,Gold Coast Suns
Marlion Pickett,58.94,,,Richmond Tigers
Joel Amartey,58.83,,,Sydney Swans
Sam Draper,58.82,,,Essendon Bombers
Robbie Tarrant,58.78,,,North Melbourne Kangaroos
Sam Frost,58.68,,,Hawthorn Hawks
Tom Cutler,58.56,,,Essendon Bombers
Nicholas Coffield,58.53,,,St Kilda Saints
Jai Newcombe,58.33,,,Hawthorn Hawks
Tom De Koning,58.08,,,Carlton Blues
Lachlan Schultz,57.95,,,Fremantle Dockers
Tim O'Brien,57.89,,,Hawthorn Hawks
Gary Rohan,57.82,,,Geelong Cats
Bradley Close,57.78,,,Geelong Cats
Zac Fisher,57.78,,,Carlton Blues
Callum Coleman-Jones,57.75,,,Richmond Tigers
Oscar Allen,57.71,,,West Coast Eagles
Connor Menadue,57.71,,,North Melbourne Kangaroos
Jason Castagna,57.5,,,Richmond Tigers
Jayden Laverde,57.24,,,Essendon Bombers
Cody Weightman,57.15,,,Western Bulldogs
Josh Thomas,57.11,,,Collingwood Magpies
Sam Switkowski,57.09,,,Fremantle Dockers
David Astbury,57.0,,,Richmond Tigers
David Zaharakis,57.0,,,Essendon Bombers
Quinton Narkle,56.92,,,Geelong Cats
Sam Wicks,56.9,,,Sydney Swans
Eric Hipwood,56.88,,,Brisbane Lions
Travis Colyer,56.81,,,Fremantle Dockers
Brendon Ah Chee,56.8,,,West Coast Eagles
Matt Cottrell,56.75,,,Carlton Blues
Bailey Scott,56.67,,,North Melbourne Kangaroos
Tom Campbell,56.56,,,North Melbourne Kangaroos
Riley Collier-Dawkins,56.56,,,Richmond Tigers
Liam Ryan,56.5,,,West Coast Eagles
Jordan Clark,56.38,,,Geelong Cats
Hamish Hartlett,56.3,,,Port Adelaide Power
Tom Cole,56.27,,,West Coast Eagles
Cale Hooker,56.22,,,Essendon Bombers
Nikolas Cox,56.2,,,Essendon Bombers
Daniel Rioli,55.89,,,Richmond Tigers
Marc Murphy,55.86,,,Carlton Blues
Todd Marshall,55.83,,,Port Adelaide Power
Jack Ross,55.82,,,Richmond Tigers
Matt Guelfi,55.81,,,Essendon Bombers
Connor Idun,55.75,,,Greater Western Sydney Giants
Chris Burgess,55.58,,,Gold Coast Suns
Liam Stocker,55.38,,,Carlton Blues
Jeremy Finlayson,55.38,,,Greater Western Sydney Giants
Samuel Collins,55.37,,,Gold Coast Suns
Heath Chapman,55.33,,,Fremantle Dockers
Matt Rowell,55.25,,,Gold Coast Suns
Sam Durham,55.2,,,Essendon Bombers
Luke Brown,55.09,,,Adeliade Crows
Andrew McPherson,55.07,,,Adeliade Crows
Hayden McLean,55.0,,,Sydney Swans
Daniel Butler,54.86,,,St Kilda Saints
Reece Conca,54.78,,,Fremantle Dockers
Jack Payne,54.78,,,Brisbane Lions
Noah Balta,54.71,,,Richmond Tigers
Michael Hibberd,54.67,,,Melbourne Demons
Max King,54.65,,,St Kilda Saints
Jayden Hunt,54.45,,,Melbourne Demons
Alex Keath,54.45,,,Western Bulldogs
Tom McCartin,54.43,,,Sydney Swans
David MacKay,54.38,,,Adeliade Crows
Zac Smith,54.33,,,Gold Coast Suns
Charlie Spargo,54.29,,,Melbourne Demons
Anthony McDonald-Tipungwuti,54.1,,,Essendon Bombers
Tom Clurey,54.09,,,Port Adelaide Power
Boyd Woodcock,54.0,,,Port Adelaide Power
Joshua Walker,53.8,,,North Melbourne Kangaroos
Max Holmes,53.67,,,Geelong Cats
Nick Larkey,53.62,,,North Melbourne Kangaroos
Jack Lonie,53.44,,,St Kilda Saints
James Rowe,53.33,,,Adeliade Crows
Jackson Nelson,53.22,,,West Coast Eagles
Josh Corbett,53.13,,,Gold Coast Suns
Mitch Georgiades,52.95,,,Port Adelaide Power
Mitchell Hannan,52.92,,,Western Bulldogs
Paddy Dow,52.87,,,Carlton Blues
Luke Edwards,52.71,,,West Coast Eagles
Braeden Campbell,52.5,,,Sydney Swans
Jack Mahony,52.32,,,North Melbourne Kangaroos
Jake Kolodjashnij,52.11,,,Geelong Cats
Xavier O'Halloran,52.08,,,Greater Western Sydney Giants
Lachie Young,52.08,,,North Melbourne Kangaroos
Callum Brown,52.0,,,Collingwood Magpies
Minairo Frederick,52.0,,,Fremantle Dockers
Luke Dahlhaus,51.95,,,Geelong Cats
Brayden Ham,51.94,,,Essendon Bombers
Nathan Jones,51.86,,,Melbourne Demons
Adam Tomlinson,51.86,,,Melbourne Demons
Liam Jones,51.79,,,Carlton Blues
Matt Owies,51.69,,,Carlton Blues
Ed Richards,51.6,,,Western Bulldogs
Brent Daniels,51.31,,,Greater Western Sydney Giants
Izak Rankine,51.11,,,Gold Coast Suns
Jared Polec,51.0,,,North Melbourne Kangaroos
Ben King,50.91,,,Gold Coast Suns
Harry Edwards,50.8,,,West Coast Eagles
Connor West,50.8,,,West Coast Eagles
Brett Bewley,50.6,,,Fremantle Dockers
Mason Cox,50.57,,,Collingwood Magpies
Lachlan Keeffe,50.5,,,Greater Western Sydney Giants
Atu Bosenavulagi,50.5,,,North Melbourne Kangaroos
Sam Day,50.5,,,Gold Coast Suns
Archie Perkins,50.33,,,Essendon Bombers
Sean Lemmens,50.24,,,Gold Coast Suns
Lewis Young,50.14,,,Western Bulldogs
Jarrod Berry,50.11,,,Brisbane Lions
Tyler Brown,50.0,,,Collingwood Magpies
Jack Buckley,49.93,,,Greater Western Sydney Giants
Kayne Turner,49.9,,,North Melbourne Kangaroos
Brandon Starcevich,49.86,,,Brisbane Lions
Lachlan Jones,49.83,,,Port Adelaide Power
Jake Aarts,49.8,,,Richmond Tigers
Ryan Lester,49.69,,,Brisbane Lions
Riley Thilthorpe,49.69,,,Adeliade Crows
Damon Greaves,49.67,,,Hawthorn Hawks
Easton Wood,49.55,,,Western Bulldogs
Alec Waterman,49.42,,,Essendon Bombers
Luke Foley,49.17,,,West Coast Eagles
Jacob Koschitzke,49.05,,,Hawthorn Hawks
Lachlan Plowman,48.67,,,Carlton Blues
Oliver Henry,48.67,,,Collingwood Magpies
Shaun Burgoyne,48.35,,,Hawthorn Hawks
Levi Casboult,48.33,,,Carlton Blues
Ian Hill,48.25,,,Greater Western Sydney Giants
Jamaine Jones,48.25,,,West Coast Eagles
Chayce Jones,48.23,,,Adeliade Crows
Jason Johannisen,48.2,,,Western Bulldogs
Jack Petruccelle,48.18,,,West Coast Eagles
Tom Sparrow,48.17,,,Melbourne Demons
Ned McHenry,48.15,,,Adeliade Crows
Brayden Sier,48.14,,,Collingwood Magpies
Aaron Francis,47.92,,,Essendon Bombers
James Stewart,47.87,,,Essendon Bombers
Lachlan Murphy,47.79,,,Adeliade Crows
Ben Long,47.62,,,St Kilda Saints
Robbie Fox,47.36,,,Sydney Swans
Billy Frampton,47.33,,,Adeliade Crows
Zac Langdon,47.31,,,West Coast Eagles
Lewis Melican,47.2,,,Sydney Swans
Kane Farrell,47.1,,,Port Adelaide Power
Darcy Fogarty,47.07,,,Adeliade Crows
Griffin Logue,47.0,,,Fremantle Dockers
Xavier O'Neill,46.86,,,West Coast Eagles
Tom Williamson,46.8,,,Carlton Blues
Shane McAdam,46.79,,,Adeliade Crows
Trey Ruscoe,46.67,,,Collingwood Magpies
Stefan Martin,46.57,,,Western Bulldogs
Roarke Smith,46.56,,,Western Bulldogs
Paul Hunter,46.5,,,St Kilda Saints
Eddie Betts,46.33,,,Carlton Blues
Jack Bytel,46.17,,,St Kilda Saints
Nathan Murphy,46.08,,,Collingwood Magpies
Brennan Cox,46.0,,,Fremantle Dockers
Tobe Watson,45.9,,,Fremantle Dockers
Zachary Sproule,45.86,,,Greater Western Sydney Giants
Aiden Bonar,45.78,,,North Melbourne Kangaroos
Esava Ratugolea,45.69,,,Geelong Cats
Beau McCreery,45.64,,,Collingwood Magpies
Oliver Hanrahan,45.58,,,Hawthorn Hawks
Mitchell Wallis,45.33,,,Western Bulldogs
Thomson Dow,45.2,,,Richmond Tigers
Jaxon Prior,44.93,,,Brisbane Lions
Zaine Cordy,44.53,,,Western Bulldogs
Jake Melksham,44.4,,,Melbourne Demons
Rhyan Mansell,44.38,,,Richmond Tigers
Will Phillips,44.38,,,North Melbourne Kangaroos
Laitham Vandermeer,44.29,,,Western Bulldogs
James Madden,43.78,,,Brisbane Lions
Jordon Butts,43.76,,,Adeliade Crows
Josh Treacy,43.64,,,Fremantle Dockers
Leo Connolly,43.57,,,St Kilda Saints
Elliott Himmelberg,43.5,,,Adeliade Crows
Darcy Gardiner,43.43,,,Brisbane Lions
Logan McDonald,43.43,,,Sydney Swans
Jake Riccardi,43.43,,,Greater Western Sydney Giants
Lachlan McNeil,43.36,,,Western Bulldogs
Finlay Macrae,43.11,,,Collingwood Magpies
Tyler Brockman,42.91,,,Hawthorn Hawks
Harrison Jones,42.81,,,Essendon Bombers
Sam Berry,42.76,,,Adeliade Crows
Charlie Lazzaro,42.7,,,North Melbourne Kangaroos
Phil Davis,42.6,,,Greater Western Sydney Giants
Riley Garcia,42.44,,,Western Bulldogs
Bailey Banfield,42.4,,,Fremantle Dockers
Brandon Walker,42.22,,,Fremantle Dockers
Brandon Zerk-Thatcher,42.0,,,Essendon Bombers
Jamarra Ugle-Hagan,42.0,,,Western Bulldogs
Tom Fullarton,41.8,,,Brisbane Lions
Mitchell Crowden,41.57,,,Fremantle Dockers
Callum Ah Chee,41.4,,,Brisbane Lions
Anthony Scott,41.39,,,Western Bulldogs
Sam Weideman,41.2,,,Melbourne Demons
Ben McKay,41.05,,,North Melbourne Kangaroos
Matthew Buntine,41.0,,,Greater Western Sydney Giants
Keidean Coleman,40.93,,,Brisbane Lions
James Bell,40.38,,,Sydney Swans
Nick Murray,40.0,,,Adeliade Crows
Harrison Petty,39.53,,,Melbourne Demons
Lloyd Meek,39.5,,,Fremantle Dockers
Rory Atkins,39.0,,,Gold Coast Suns
Will Hamill,38.53,,,Adeliade Crows
Ryan Garthwaite,38.4,,,Richmond Tigers
Denver Grainger-Barras,38.2,,,Hawthorn Hawks
Connor Blakely,37.91,,,Fremantle Dockers
Sam Mayes,37.22,,,Port Adelaide Power
Kyle Hartigan,37.0,,,Hawthorn Hawks
Dylan Stephens,36.83,,,Sydney Swans
Liam Henry,36.38,,,Fremantle Dockers
Caleb Graham,36.33,,,Gold Coast Suns
Bailey Williams,36.33,,,West Coast Eagles
Tanner Bruhn,36.2,,,Greater Western Sydney Giants
Hugo Ralphsmith,36.2,,,Richmond Tigers
Darragh Joyce,35.8,,,St Kilda Saints
Alex Pearce,35.33,,,Fremantle Dockers
Tristan Xerri,34.88,,,North Melbourne Kangaroos
Samuel Reid,34.5,,,Greater Western Sydney Giants
Patrick Naish,34.0,,,Richmond Tigers
Martin Frederick,33.75,,,Port Adelaide Power
Neville Jetta,32.4,,,Melbourne Demons
Luke Parks,32.33,,,Carlton Blues
Nathan Vardy,31.11,,,West Coast Eagles
Thomas Berry,31.0,,,Brisbane Lions
Ryan Gardner,25.0,,,Western Bulldogs
